Sample_ID	group label	Master ID	Skeletal code	Skeletal element	"Published(0=no,1=yes.including.data.release.of.bioRxiv.version)"	"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing: GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]"	Publication	Representative contact	"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)"	"Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]"	"Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]"	"Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE"	Age at Death Estimate	Group ID	Locality	Country	Lat.	Long.	Restrictions (0=none; 1=Basic signed letter; 2=Restrictive signed letter; 3=Bolnick signed letter; 4=Never release; 5=Disease patient; 6=Basic signed letter but drafts should be circulated to Papua New Guinea Medical Research Advisory Group in advance of publication)	Pulldown Strategy	Data source	No. Libraries	Coverage on autosomal targets (Computed at (re)pulldown pre-padding)	1240k coverage (taken from original pulldown where possible)	SNPs hit on autosomal targets (Computed at pulldown for non-padded samples)	SNPs hit on autosomal targets (Computed using easystats on 1240k snpset)	Mean length of shotgun sequences (merged data)	Sex	Family ID and position within family	Sum total of ROH segments >4cM	Sum total of ROH segments >20cM	Y haplogroup automatic caller	Y haplogroup in terminal mutation notation (automatically called)	Y haplogroup  in ISOGG v15.73 notation (automatically called)	Y chromosome reference for manual call	Y haplogroup (manual curation in terminal mutation format)	Y haplogroup (manual curation in ISOGG format)	mtDNA coverage (merged data)	mtDNA haplogroup if ≥2 or published	mtDNA match to consensus if ≥2 coverage (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Xcontam ANGSD SNPs (only if male)	Xcontam ANGSD MOM point estimate (only if male and ≥200)	Xcontam ANGSD MOM Z-score (only if male and ≥200)	Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and ≥200)	contamLD est	contamLD s.e.	contamLD warning	contamLD s.e.	"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)"	LibraryID(s)	endogenous by library (computed on shotgun data)	1240k coverage (by library)	Damage rate in first nucleotide on sequences overlapping 1240k targets (by library)	mtDNA coverage (by library)	mtDNA haplogroup if ≥2 coverage (by library)	mtDNA match to consensus if ≥2 coverage (by library)	Individual Notes	batch notes (e.g. if a control well looks contaminated)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"
I1024	BA	I1024	"993, kurgan 2, burial 7, skeleton 6"	bone (long bone)	1	2019	NarasimhanPattersonScience2019	"Hanks, Bryan; Epimakhov, Andrey"	"Context: Dates on individual(s) from same site (I0941, I1028, I1064, I1056, I1054, I1058, I1053, I1017, I1057, I1029, I1027, I1020, I0984)"	3825	101	2050-1700 BCE	..	Russia_MLBA_Sintashta	Kamennyi Ambar 5 Cemetery	Russia	52.81666667	60.46666667	0	Repulldown on 3.2M snpset	1240K	2	0.343188	0.583	757038	473166	..	F	n/a (no relatives detected)	21.706303	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	53.04955	H2b	"[0.994,1]"	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.019	0.016	None	"[0,0.012]"	"ds.half,ds.half"	"S1024.E1.L1,S1026.E1.L1"	"0.01370,0.03790"	"0.110,0.496"	"0.079,0.048"	"51.90,43.50"	"H2b,H2b"	"[0.994,1.000],[0.980,0.997]"	..	..	PASS	damage.ds.half=0.048-0.079
I1027	BA	I1027	"1000, kurgan 2, burial 6, skeleton 6 / 1002, kurgan 2, burial 6, skeleton 8 / 1006, kurgan 2, burial 9, skeleton 2"	bone (long bone)	1	2019	NarasimhanPattersonScience2019	"Hanks, Bryan; Epimakhov, Andrey"	Direct: IntCal20	3833	53	"2008-1773 calBCE (3550±25 BP, PSUAMS-1954)"	..	Russia_MLBA_Sintashta	Kamennyi Ambar 5 Cemetery	Russia	52.81666667	60.46666667	0	Repulldown on 3.2M snpset	1240K	3	2.156223	3.648	1778750	970922	..	M	n/a (no relatives detected)	0	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	R-Z2125	R1a1a1b2a2a~	..	..	..	..	T1a1	..	..	..	..	..	..	..	-0.009	0.007	None	"[0,0.005]"	"ds.half,ds.half,ds.half"	"S1085.E1.L1,S1027.E1.L1,S1087.E1.L1"	"0.18830,0.12810,0.59520"	"0.247,1.316,2.181"	"0.057,0.064,0.066"	"88.70,362.00,595.00"	"T1a1,T1,T1"	"[0.990,0.996],[0.998,1.000],[0.997,1.000]"	..	..	PASS	Xcontam=0.006
I1029	BA	I1029	"1008, kurgan 2, burial 8, skeleton 2"	bone (long bone)	1	2019	NarasimhanPattersonScience2019	"Hanks, Bryan; Epimakhov, Andrey"	Direct: IntCal20	3830	57	"2012-1772 calBCE (3549±29 BP, OxA-12531)"	..	Russia_MLBA_Sintashta	Kamennyi Ambar 5 Cemetery	Russia	52.81666667	60.46666667	0	Repulldown on 3.2M snpset	1240K	1	0.489201	0.826	941711	579467	..	F	n/a (no relatives detected)	33.157007	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	357	J1c5a	"[0.996,1.000]"	0.054	0.01	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.028	0.014	None	"[0,0]"	ds.half	S1029.E1.L1	0.0588	0.826	0.054	357	J1c5a	"[0.996,1.000]"	..	..	PASS	..
I10342	BA	I10342	VLRD_VL63	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Context: Archaeological - Period	4050	231	2500-1700 BCE	..	France_LN_EBA	"Lauzet-Ubaye, Villard"	France	44.476	6.369	0	Repulldown on 3.2M snpset	1240K	2	5.035871	8.708334	1659666	924372	..	M	n/a (no relatives detected)	0	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	R-P312	R1b1a1b1a1a2	..	..	..	..	W6	..	..	..	..	..	..	..	0.001	0.004	None	"[0,0.009]"	"ds.half,ds.half"	"S10342.E1.L1,S10346.E1.L1"	"0.40980,0.66300"	"3.976,4.790"	"0.071,0.065"	"316.00,402.00"	"W6,W6"	"[0.987,0.995],[0.986,0.994]"	..	..	PASS	..
I10343	BA	I10343	VLRD_VL498	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Context: Archaeological - Period	4050	231	2500-1700 BCE	..	France_LN_EBA	"Lauzet-Ubaye, Villard"	France	44.476	6.369	0	Repulldown on 3.2M snpset	1240K	1	2.640713	4.586206	1390170	822985	..	F	n/a (no relatives detected)	4.00399	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	298	J1c5	"[0.993,0.999]"	0.058	0.013	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.008	0.006	None	"[0,0.004]"	ds.half	S10343.E1.L1	0.5664	4.586206	0.058	298	J1c5	"[0.993,0.999]"	..	..	PASS	..
I10344	BA	I10344	VLRD_VL940	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Context: Archaeological - Period	4050	231	2500-1700 BCE	..	France_LN_EBA	"Lauzet-Ubaye, Villard"	France	44.476	6.369	0	Repulldown on 3.2M snpset	1240K	1	1.996671	3.455786	1391287	825265	..	F	n/a (no relatives detected)	0	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	402	H3+152	"[0.97,0.984]"	0.046	0.013	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.002	0.007	None	"[0,0.016]"	ds.half	S10344.E1.L1	0.8958	3.455786	0.046	402	H3+152	"[0.97,0.984]"	..	..	PASS	damage.ss.half=0.046
I10347	BA	I10347	VLRD_VLR2	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Context: Archaeological - Period	4050	231	2500-1700 BCE	..	France_LN_EBA	"Lauzet-Ubaye, Villard"	France	44.476	6.369	0	Repulldown on 3.2M snpset	1240K	1	2.680139	4.631594	1374016	795543	..	M	n/a (no relatives detected)	5.382997	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	G-BY27899	G2a2b2a1a1b	..	..	..	470	T1a	"[0.994,1]"	0.076	0.421	5416	0.00406	4.442996033	"[0.002,0.006]"	0.01	0.006	None	"[0,0.022]"	ds.half	S10347.E1.L1	0.74	4.631594	0.076	470	T1a	"[0.994,1.000]"	..	..	PASS	..
I10348	BA	I10348	VLRD_VLR3	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Context: Archaeological - Period	4050	231	2500-1700 BCE	..	France_LN_EBA	"Lauzet-Ubaye, Villard"	France	44.476	6.369	0	Repulldown on 3.2M snpset	1240K	1	2.248505	3.874659	1380060	801001	..	M	n/a (no relatives detected)	0	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	R-L2	R1b1a1b1a1a2b1	..	..	..	502	H1e	"[0.993,1]"	0.07	0.423	5185	0.0043	4.29778664	"[0.002,0.006]"	-0.002	0.006	None	"[0,0.01]"	ds.half	S10348.E1.L1	0.577	3.874659	0.07	502	H1e	"[0.993,1.000]"	..	..	PASS	..
I1053	BA	I1053	"946, kurgan 4, burial 11, skeleton 2"	bone (long bone)	1	2019	NarasimhanPattersonScience2019	"Hanks, Bryan; Epimakhov, Andrey"	Direct: IntCal20	3785	47	"1928-1751 calBCE (3520±25 BP, PSUAMS-2064)"	..	Russia_MLBA_Sintashta	Kamennyi Ambar 5 Cemetery	Russia	52.81666667	60.46666667	0	Repulldown on 3.2M snpset	1240K	1	2.076064	3.59	1500620	847953	..	M	"Russia, Kamennyi Ambar 5 Cemetery Family D (2 members) (I1054 and I1053 are 1st degree relatives)"	35.845	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	R-Z2124	R1a1a1b2a2	..	..	..	738	H2b	"[0.983,0.992]"	0.06	0.411	4940	0.003021	3.182128341	"[0.001,0.005]"	-0.004	0.007	None	"[0,0.01]"	ds.half	S1053.E1.L1	0.6463	3.59	0.06	738	H2b	"[0.983,0.992]"	..	..	PASS	..
I1055	BA	I1055	"952, kurgan 4, burial 2, skeleton 3"	bone (long bone)	1	2019	NarasimhanPattersonScience2019	"Hanks, Bryan; Epimakhov, Andrey"	"Context: Dates on individual(s) from same site (I0941, I1028, I1064, I1056, I1054, I1058, I1053, I1017, I1057, I1029, I1027, I1020, I0984)"	3825	101	2050-1700 BCE	..	Russia_MLBA_Sintashta	Kamennyi Ambar 5 Cemetery	Russia	52.81666667	60.46666667	0	Repulldown on 3.2M snpset	1240K	1	0.200644	0.335	509878	317477	..	M	"Russia, Kamennyi Ambar 5 Cemetery Family A (2 members) (I0940 and I1055 are 1st degree relatives)"	n/a (too few SNPs)	n/a (too few SNPs)	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	R-Z94	R1a1a1	..	..	..	316	U2e1h	"[0.996,1.000]"	0.084	0.406	169	n/a (<200 SNPs)	n/a (<200 SNPs)	n/a (<200 SNPs)	0.003	0.016	None	"[0,0.034]"	ds.half	S1055.E1.L1	0.0367	0.335	0.084	316	U2e1h	"[0.996,1.000]"	..	..	PASS	..
I1060	BA	I1060	"968, kurgan 2, burial 10, skeleton 1"	bone (long bone)	1	2019	NarasimhanPattersonScience2019	"Hanks, Bryan; Epimakhov, Andrey"	"Context: Dates on individual(s) from same site (I0941, I1028, I1064, I1056, I1054, I1058, I1053, I1017, I1057, I1029, I1027, I1020, I0984)"	3825	101	2050-1700 BCE	..	Russia_MLBA_Sintashta	Kamennyi Ambar 5 Cemetery	Russia	52.81666667	60.46666667	0	Repulldown on 3.2M snpset	1240K	1	0.088957	0.158	238340	158473	..	F	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	43	T2b34	"[0.991,0.999]"	0.045	0.014	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.044	0.042	Model_Misspecified	"[0,0.038]"	ds.half	S1060.E1.L1	0.0164	0.158	0.045	43	T2b34	"[0.991,0.999]"	..	..	PASS	damage.ds.half=0.045
I1061	BA	I1061	"969, kurgan 2, burial 10, skeleton 2"	bone (long bone)	1	2019	NarasimhanPattersonScience2019	"Hanks, Bryan; Epimakhov, Andrey"	"Context: Dates on individual(s) from same site (I0941, I1028, I1064, I1056, I1054, I1058, I1053, I1017, I1057, I1029, I1027, I1020, I0984)"	3825	101	2050-1700 BCE	..	Russia_MLBA_Sintashta	Kamennyi Ambar 5 Cemetery	Russia	52.81666667	60.46666667	0	Repulldown on 3.2M snpset	1240K	3	0.12726	0.224715	335748	221878	..	F	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	27.556159	H5a1	"[0.982,0.999]"	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.018	0.037	None	"[0,0.055]"	"ds.half,ds.half,ds.half"	"S1061.E1.L1,S1061.E1.L2,S1061.E1.L3"	"0.01560,0.01490,0.01680"	"0.077,0.050,0.070"	"0.075,0.058,0.057"	"27.00,26.00,26.70"	"H5a1,H5a1,H5a1"	"[0.985,0.999],[0.982,0.998],[0.984,0.999]"	..	..	PASS	..
I1062	BA	I1062	"975, kurgan 2, burial 11, skeleton 1"	bone (long bone)	1	2019	NarasimhanPattersonScience2019	"Hanks, Bryan; Epimakhov, Andrey"	"Context: Dates on individual(s) from same site (I0941, I1028, I1064, I1056, I1054, I1058, I1053, I1017, I1057, I1029, I1027, I1020, I0984)"	3825	101	2050-1700 BCE	..	Russia_MLBA_Sintashta	Kamennyi Ambar 5 Cemetery	Russia	52.81666667	60.46666667	0	Repulldown on 3.2M snpset	1240K	1	0.095555	0.16	269872	168978	..	F	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	168	K1a+195	"[0.983,0.992]"	0.071	0.015	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.063	0.036	None	"[0,0.134]"	ds.half	S1062.E1.L1	0.0389	0.16	0.071	168	K1a+195	"[0.983,0.992]"	..	..	PASS	..
I1063	BA	I1063	"1009, kurgan 2, burial 8, skeleton 3"	bone (long bone)	1	2019	NarasimhanPattersonScience2019	"Hanks, Bryan; Epimakhov, Andrey"	"Context: Dates on individual(s) from same site (I0941, I1028, I1064, I1056, I1054, I1058, I1053, I1017, I1057, I1029, I1027, I1020, I0984)"	3825	101	2050-1700 BCE	..	Russia_MLBA_Sintashta	Kamennyi Ambar 5 Cemetery	Russia	52.81666667	60.46666667	0	Repulldown on 3.2M snpset	1240K	1	0.361137	0.601	808334	493996	..	F	n/a (no relatives detected)	4.088604	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	292	U4a	"[0.988,0.995]"	0.059	0.008	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.148	0.019	Very_High_Contamination	"[0.111,0.185]"	ds.half	S1063.E1.L1	0.101	0.601	0.059	292	U4a	"[0.988,0.995]"	..	..	PASS	..
I1064	BA	I1064	"1010, kurgan 2, burial 8, skeleton 4"	bone (long bone)	1	2019	NarasimhanPattersonScience2019	"Hanks, Bryan; Epimakhov, Andrey"	Direct: IntCal20	3739	55	"1879-1693 calBCE (3460±20 BP, PSUAMS-2102)"	..	Russia_MLBA_Sintashta	Kamennyi Ambar 5 Cemetery	Russia	52.81666667	60.46666667	0	Repulldown on 3.2M snpset	1240K	1	1.219384	2.08	1417480	823009	..	M	n/a (no relatives detected)	18.044603	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	R-Y874	R1a1a1b2a2a1d5~	..	..	..	733	H6a1a	"[0.996,1.000]"	0.05	0.407	3412	0.009819	5.0708834	"[0.006,0.014]"	0.015	0.008	None	"[0,0.031]"	ds.half	S1064.E1.L1	0.4438	2.08	0.05	733	H6a1a	"[0.996,1.000]"	..	..	PASS	"Xcontam=[0.006,0.014]"
I1065	BA	I1065	"1016, kurgan 2, burial 5, skeleton 4"	bone (long bone)	1	2019	NarasimhanPattersonScience2019	"Hanks, Bryan; Epimakhov, Andrey"	"Context: Dates on individual(s) from same site (I0941, I1028, I1064, I1056, I1054, I1058, I1053, I1017, I1057, I1029, I1027, I1020, I0984)"	3825	101	2050-1700 BCE	..	Russia_MLBA_Sintashta	Kamennyi Ambar 5 Cemetery	Russia	52.81666667	60.46666667	0	Repulldown on 3.2M snpset	1240K	1	0.098115	0.164	267139	167767	..	M	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	R-Z2124	R1a1a1b2a2	..	..	..	160	H6a1a	"[0.982,0.992]"	0.051	0.413	50	n/a (<200 SNPs)	n/a (<200 SNPs)	n/a (<200 SNPs)	-0.066	0.028	Model_Misspecified	"[0,0]"	ds.half	S1065.E1.L1	0.0423	0.164	0.051	160	H6a1a	"[0.982,0.992]"	..	..	PASS	..
I1082	BA	I1082	"983, kurgan 2, burial 12, skeleton 1"	bone (long bone)	1	2019	NarasimhanPattersonScience2019	"Hanks, Bryan; Epimakhov, Andrey"	"Context: Dates on individual(s) from same site (I0941, I1028, I1064, I1056, I1054, I1058, I1053, I1017, I1057, I1029, I1027, I1020, I0984)"	3825	101	2050-1700 BCE	..	Russia_MLBA_Sintashta	Kamennyi Ambar 5 Cemetery	Russia	52.81666667	60.46666667	0	Repulldown on 3.2M snpset	1240K	1	0.174942	0.304	445145	288507	..	M	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	R-Z94	R1a1a1	..	..	..	98.5	U5b2a1a2	"[0.989,0.996]"	0.091	0.41	..	..	..	..	0.038	0.01	None	"[0.018,0.058]"	ds.half	S1082.E1.L1	0.0168	0.304	0.091	98.5	U5b2a1a2	"[0.989,0.996]"	..	..	PASS	..
I1084	BA	I1084	"991, kurgan 2, burial 7, skeleton 3"	bone (long bone)	1	2019	NarasimhanPattersonScience2019	"Hanks, Bryan; Epimakhov, Andrey"	"Context: Dates on individual(s) from same site (I0941, I1028, I1064, I1056, I1054, I1058, I1053, I1017, I1057, I1029, I1027, I1020, I0984)"	3825	101	2050-1700 BCE	..	Russia_MLBA_Sintashta	Kamennyi Ambar 5 Cemetery	Russia	52.81666667	60.46666667	0	Repulldown on 3.2M snpset	1240K	1	0.156614	0.262	417219	262541	..	M	"Russia, Kamennyi Ambar 5 Cemetery Family B (2 members) (I0985 and I1084 are 1st degree relatives)"	n/a (too few SNPs)	n/a (too few SNPs)	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	R-Z2124	R1a1a1b2a2	..	..	..	184	U2e2a	"[0.997,1.000]"	0.081	0.408	92	n/a (<200 SNPs)	n/a (<200 SNPs)	n/a (<200 SNPs)	0.017	0.015	None	"[0,0.046]"	ds.half	S1084.E1.L1	0.0249	0.262	0.081	184	U2e2a	"[0.997,1.000]"	..	..	PASS	..
I1086	BA	I1086	"1005, kurgan 2, burial 9, skeleton 1"	bone (long bone)	1	2019	NarasimhanPattersonScience2019	"Hanks, Bryan; Epimakhov, Andrey"	"Context: Dates on individual(s) from same site (I0941, I1028, I1064, I1056, I1054, I1058, I1053, I1017, I1057, I1029, I1027, I1020, I0984)"	3825	101	2050-1700 BCE	..	Russia_MLBA_Sintashta	Kamennyi Ambar 5 Cemetery	Russia	52.81666667	60.46666667	0	Repulldown on 3.2M snpset	1240K	1	0.327815	0.555	730215	456022	..	M	"Russia, Kamennyi Ambar 5 Cemetery Family C (2 members) (I1010 and I1086 are 1st degree relatives)"	0	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	R-Z645	R1a1a1	..	..	..	228	T1a1	"[0.987,0.994]"	0.074	0.412	380	0.022277	2.270118295	"[0.003,0.042]"	-0.003	0.013	None	"[0,0.022]"	ds.half	S1086.E1.L1	0.0365	0.555	0.074	228	T1a1	"[0.987,0.994]"	..	..	PASS	..
I1088	BA	I1088	"1011, kurgan 2, burial 13"	bone (long bone)	1	2019	NarasimhanPattersonScience2019	"Hanks, Bryan; Epimakhov, Andrey"	"Context: Dates on individual(s) from same site (I0941, I1028, I1064, I1056, I1054, I1058, I1053, I1017, I1057, I1029, I1027, I1020, I0984)"	3825	101	2050-1700 BCE	..	Russia_MLBA_Sintashta	Kamennyi Ambar 5 Cemetery	Russia	52.81666667	60.46666667	0	Repulldown on 3.2M snpset	1240K	1	0.15276	0.257	406176	256393	..	F	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	114	J1c2m	"[0.994,0.999]"	0.06	0.006	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.014	0.025	None	"[0,0.035]"	ds.half	S1088.E1.L1	0.0212	0.257	0.06	114	J1c2m	"[0.994,0.999]"	..	..	PASS	..
I1089	BA	I1089	"1015, kurgan 2, burial 5, skeleton 3a"	bone (long bone)	1	2019	NarasimhanPattersonScience2019	"Hanks, Bryan; Epimakhov, Andrey"	"Context: Dates on individual(s) from same site (I0941, I1028, I1064, I1056, I1054, I1058, I1053, I1017, I1057, I1029, I1027, I1020, I0984)"	3825	101	2050-1700 BCE	..	Russia_MLBA_Sintashta	Kamennyi Ambar 5 Cemetery	Russia	52.81666667	60.46666667	0	Repulldown on 3.2M snpset	1240K	1	1.218327	2.097	1387588	828937	..	F	"Russia, Kamennyi Ambar 5 Cemetery Family F (2 members) (I0987 and I1089 are 2nd or 3rd degree relatives)"	0	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	227	U5b2a1a2	"[0.999,1.000]"	0.064	0.011	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.003	0.011	None	"[0,0.019]"	ds.half	S1089.E1.L1	0.2261	2.097	0.064	227	U5b2a1a2	"[0.999,1.000]"	..	..	PASS	..
I1090	BA	I1090	"1024, kurgan 4, burial 4"	bone (long bone)	1	2019	NarasimhanPattersonScience2019	"Hanks, Bryan; Epimakhov, Andrey"	"Context: Dates on individual(s) from same site (I0941, I1028, I1064, I1056, I1054, I1058, I1053, I1017, I1057, I1029, I1027, I1020, I0984)"	3825	101	2050-1700 BCE	..	Russia_MLBA_Sintashta	Kamennyi Ambar 5 Cemetery	Russia	52.81666667	60.46666667	0	Repulldown on 3.2M snpset	1240K	1	0.349393	0.582	792729	487139	..	F	n/a (no relatives detected)	25.121498	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	306	T1a1	"[0.998,1.000]"	0.074	0.007	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.001	0.017	None	"[0,0.032]"	ds.half	S1090.E1.L1	0.086	0.582	0.074	306	T1a1	"[0.998,1.000]"	..	..	PASS	..
I11159	BA	I11159	"Gr. 87, inv. 16084 (5)"	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Context: Archaeological - Period	4100	202	2500-1800 BCE	..	Czech_EBA_Unetice	"Central Bohemia, Prague 5, Prague-Jinonice (Holmanʼs Garden Centre)"	Czech Republic	50.054385	14.363387	0	Repulldown on 3.2M snpset	1240K	1	1.863421	3.164372	1325423	736416	..	F	n/a (no relatives detected)	13.328799	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	..	U5a1a2a	"[0.991,0.998]"	0.107	0.017	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.002	0.008	None	"[0,0.014]"	ds.half	S11159.Y1.E1.L1	0.86	3.164372	0.107	..	..	..	..	..	PASS	..
I11443	BA	I11443	BU32	petrous	1	2020	FernandesNatureEcologyEvolution2020	"Pinhasi, Ron"	Direct: IntCal20	4623	111	"2872-2476 calBCE (4090±60 BP, OxA-32773)"	..	Italy_Sicily_EBA_o2	"Sicily, Buffa"	Italy	37.908	13.478	0	Repulldown on 3.2M snpset	1240K	1	2.206721	3.798	1325175	739452	..	M	n/a (no relatives detected)	0	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	R-P312	R1b1a1b1a1a2	..	..	..	..	U5b2c	"[0.988,0.995]"	0.093	0.431	4663	0.003543	3.580114691	"[0.002,0.005]"	-0.006	0.007	None	"[0,0.008]"	ds.half	S11443.Y1.E1.L1	0.82	3.798	0.093	..	..	..	..	..	PASS	..
I12081	BA	I12081	N23_ V1027	petrous	1	2021	PattersonNature2021	"Altena, Eveline"	Direct: IntCal20	3257	48	"1391-1221 calBCE (3040±20 BP, PSUAMS-9525)"	..	Netherlands_MBA	"Noord-Holland, Hoogkarspel-Houterpolder-West"	Netherlands	52.696	5.152	0	Repulldown on 3.2M snpset	1240K	1	2.371222	4.068769	1379659	784727	53.5	F	n/a (no relatives detected)	0	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	733.6	U5a1c	"[0.982,0.997]"	0.0625	0.008	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.007	0.007	None	"[0,0.007]"	ds.half	S12081.E1.L1	0.68089	4.068769	0.0625	733.6	U5a1c	"[0.982,0.997]"	..	..	PASS	..
I12083	BA	I12083	Westfrisiaweg-Markerwaardweg_ V1758	petrous	1	2021	PattersonNature2021	"Altena, Eveline"	Direct: IntCal20	3100	55	"1260-1048 calBCE (2945±30 BP, Poz-92466)"	..	Netherlands_MBA_LBA	"Noord-Holland, Westwoud-Markerwaardweg"	Netherlands	52.696	5.152	0	Repulldown on 3.2M snpset	1240K	1	2.144299	3.710066	1325549	774248	50.7	F	n/a (no relatives detected)	0	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	937.5	J2b1a1	"[0.982,0.997]"	0.0825	0.01	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.006	0.007	None	"[0,0.008]"	ds.half	S12083.E1.L1	0.66717	3.710066	0.0825	937.5	J2b1a1	"[0.982,0.997]"	..	..	PASS	..
